description,amount,category
Flipkart order via UPI (Kotak),3114,Shopping
Coaching class fee via UPI (ICICI),17597,Education
Credit card bill via Cash (Kotak),10437,Bills
Dominos order via Credit Card (Paytm),9741,Food
FD investment via Net Banking (Axis Bank),10501,Investment
UPI transfer via Cash (PhonePe),3790,Transfer
Internet recharge via Debit Card (Paytm),8532,Bills
FD investment via UPI (ICICI),7080,Investment
Credit card bill via Net Banking (Kotak),2429,Bills
Uber ride via Credit Card (Paytm),3021,Travel
RTGS transfer via Credit Card (Axis Bank),18093,Transfer
Stock investment via Credit Card (HDFC),4143,Investment
Auto fare via Cash (SBI),5492,Travel
Bus fare via Credit Card (PhonePe),11420,Travel
Mutual fund purchase via UPI (ICICI),19714,Investment
FD investment via UPI (ICICI),19713,Investment
FD investment via Debit Card (HDFC),3967,Investment
Course fee via Credit Card (HDFC),15603,Education
Crypto purchase via Cash (PhonePe),4680,Investment
Rapido ride via UPI (Axis Bank),404,Travel
Online certification via Cash (Paytm),7509,Education
SIP investment via UPI (ICICI),8021,Investment
Game purchase via Net Banking (HDFC),19163,Entertainment
Movie ticket via Credit Card (PhonePe),10681,Entertainment
Amazon shopping via Credit Card (ICICI),5494,Shopping
Amazon shopping via UPI (SBI),14647,Shopping
SIP investment via Debit Card (ICICI),18541,Investment
Spotify subscription via Cash (HDFC),4625,Entertainment
Online certification via Credit Card (GPay),8505,Education
Electricity bill via Cash (HDFC),18243,Bills
Diagnostic test via Credit Card (Paytm),14914,Healthcare
Ajio shopping via Credit Card (ICICI),368,Shopping
Credit card bill via Debit Card (ICICI),5026,Bills
Electricity bill via Credit Card (Paytm),6717,Bills
Theme park ticket via Credit Card (Kotak),1738,Entertainment
Mobile recharge via Debit Card (GPay),17055,Bills
Health insurance premium via Credit Card (GPay),17768,Healthcare
Hospital checkup via Debit Card (HDFC),14431,Healthcare
Flipkart order via Net Banking (ICICI),2858,Shopping
Online certification via Net Banking (Axis Bank),2055,Education
Metro ticket via UPI (Paytm),12845,Travel
Medical store purchase via UPI (HDFC),16049,Healthcare
IMPS transfer via Net Banking (Kotak),12789,Transfer
NEFT transfer via Debit Card (Paytm),18867,Transfer
Auto fare via Net Banking (PhonePe),18090,Travel
Stock investment via Cash (SBI),3897,Investment
UPI transfer via Credit Card (HDFC),11451,Transfer
Uber ride via Cash (Kotak),8850,Travel
Stock investment via Cash (PhonePe),2901,Investment
Book purchase via Debit Card (Paytm),588,Education
RTGS transfer via Net Banking (PhonePe),9829,Transfer
Crypto purchase via Net Banking (HDFC),17268,Investment
Spotify subscription via Cash (Axis Bank),9839,Entertainment
Clothing purchase via Cash (SBI),9840,Shopping
Bakery purchase via Cash (SBI),5524,Food
Broadband bill via Net Banking (HDFC),111,Bills
Doctor visit via UPI (Axis Bank),734,Healthcare
Swiggy order via Net Banking (Axis Bank),2777,Food
SIP investment via Cash (Paytm),7789,Investment
Mobile recharge via Net Banking (Axis Bank),1363,Bills
Swiggy order via Cash (Paytm),15491,Food
Hospital checkup via Cash (GPay),17930,Healthcare
Internet recharge via Debit Card (PhonePe),5354,Bills
Amazon shopping via Debit Card (HDFC),2322,Shopping
Mutual fund purchase via Cash (Kotak),9595,Investment
NEFT transfer via Net Banking (GPay),5100,Transfer
Coaching class fee via UPI (PhonePe),229,Education
Concert ticket via Net Banking (ICICI),15177,Entertainment
Doctor visit via Net Banking (GPay),16903,Healthcare
Spotify subscription via Debit Card (Kotak),3794,Entertainment
NEFT transfer via Credit Card (Kotak),19365,Transfer
Internet recharge via Debit Card (SBI),11384,Bills
Movie ticket via Net Banking (Paytm),6321,Entertainment
NEFT transfer via Debit Card (GPay),15016,Transfer
Wallet transfer via Cash (Kotak),9023,Transfer
Doctor visit via Credit Card (HDFC),12771,Healthcare
Dominos order via Net Banking (GPay),18515,Food
Udemy course via Credit Card (PhonePe),16996,Education
Flight booking via Debit Card (ICICI),16653,Travel
UPI transfer via Cash (Paytm),5403,Transfer
FD investment via Net Banking (Paytm),17801,Investment
Train ticket via Cash (PhonePe),15308,Travel
Train ticket via Credit Card (Axis Bank),7089,Travel
Online certification via Debit Card (HDFC),3891,Education
Bakery purchase via Cash (Axis Bank),11779,Food
Crypto purchase via Cash (Axis Bank),19285,Investment
Medical store purchase via Debit Card (GPay),18288,Healthcare
Auto fare via Net Banking (HDFC),12730,Travel
Medical store purchase via Cash (ICICI),16813,Healthcare
Udemy course via Debit Card (SBI),5679,Education
Mobile recharge via Credit Card (Kotak),2159,Bills
Bakery purchase via Net Banking (PhonePe),5775,Food
Myntra order via Credit Card (Kotak),13826,Shopping
Crypto purchase via Debit Card (SBI),4675,Investment
Book purchase via Net Banking (HDFC),10268,Education
Spotify subscription via Net Banking (Axis Bank),19917,Entertainment
Concert ticket via UPI (PhonePe),11002,Entertainment
Amazon shopping via Credit Card (HDFC),6437,Shopping
DTH recharge via Net Banking (Axis Bank),7399,Bills
Myntra order via Cash (HDFC),6331,Shopping
Pharmacy bill via Cash (GPay),17473,Healthcare
Grocery shopping via Cash (ICICI),4539,Food
Supermarket shopping via Net Banking (GPay),9077,Shopping
IMPS transfer via Credit Card (Axis Bank),3325,Transfer
College fee via Cash (Axis Bank),5928,Education
Petrol pump via Net Banking (HDFC),2384,Travel
Local market purchase via Net Banking (HDFC),1795,Shopping
IMPS transfer via UPI (Kotak),14115,Transfer
Rapido ride via UPI (HDFC),4018,Travel
Crypto purchase via UPI (Paytm),9018,Investment
College fee via Credit Card (HDFC),5679,Education
Rapido ride via Debit Card (Paytm),13622,Travel
Stock investment via UPI (Axis Bank),1113,Investment
Grocery shopping via Credit Card (SBI),18848,Food
Diagnostic test via Net Banking (Kotak),18343,Healthcare
Exam fee via UPI (SBI),10978,Education
Swiggy order via Debit Card (PhonePe),19381,Food
Amazon shopping via Credit Card (SBI),14173,Shopping
DTH recharge via UPI (Kotak),10700,Bills
Bank transfer via Cash (PhonePe),1810,Transfer
Movie ticket via Cash (ICICI),4666,Entertainment
Clothing purchase via Debit Card (HDFC),17013,Shopping
Restaurant dinner via Net Banking (ICICI),4532,Food
FD investment via UPI (Paytm),19861,Investment
Wallet transfer via UPI (ICICI),2878,Transfer
Udemy course via Credit Card (Paytm),11126,Education
Cafe coffee via Net Banking (Kotak),10437,Food
Health insurance premium via UPI (SBI),13606,Healthcare
Amazon shopping via UPI (HDFC),10912,Shopping
Bus fare via Credit Card (GPay),5209,Travel
SIP investment via Debit Card (HDFC),987,Investment
Stock investment via UPI (Axis Bank),11922,Investment
Stock investment via Cash (HDFC),17893,Investment
Stock investment via Net Banking (Paytm),7287,Investment
Coaching class fee via Credit Card (Kotak),4925,Education
Rapido ride via Net Banking (HDFC),15414,Travel
Water bill via Cash (Paytm),1818,Bills
Netflix subscription via UPI (Paytm),15315,Entertainment
Flight booking via Credit Card (PhonePe),12241,Travel
Hospital checkup via Debit Card (PhonePe),8287,Healthcare
Mobile recharge via Cash (ICICI),110,Bills
Spotify subscription via Cash (ICICI),2317,Entertainment
Netflix subscription via Net Banking (Paytm),12374,Entertainment
Street food via Cash (HDFC),2325,Food
Game purchase via Net Banking (HDFC),18068,Entertainment
IMPS transfer via Net Banking (HDFC),882,Transfer
Doctor visit via Net Banking (ICICI),11948,Healthcare
Crypto purchase via Cash (Paytm),13521,Investment
SIP investment via Credit Card (HDFC),13115,Investment
YouTube Premium via UPI (GPay),18428,Entertainment
College fee via Debit Card (Kotak),1343,Education
Bus fare via Cash (Axis Bank),15619,Travel
Dominos order via Credit Card (Axis Bank),14570,Food
IMPS transfer via UPI (Kotak),5777,Transfer
Ajio shopping via Cash (HDFC),13351,Shopping
Mobile recharge via Debit Card (Paytm),1947,Bills
IMPS transfer via Cash (Axis Bank),6495,Transfer
Pharmacy bill via Credit Card (GPay),2436,Healthcare
Pizza order via Debit Card (Paytm),2921,Food
Book purchase via UPI (Axis Bank),18913,Education
KFC meal via UPI (Paytm),17271,Food
Myntra order via Net Banking (Axis Bank),4955,Shopping
Diagnostic test via Cash (ICICI),2668,Healthcare
YouTube Premium via Debit Card (PhonePe),16886,Entertainment
College fee via Credit Card (HDFC),3632,Education
Zomato food delivery via Credit Card (PhonePe),13719,Food
Movie ticket via Net Banking (SBI),19049,Entertainment
Myntra order via Net Banking (HDFC),968,Shopping
IMPS transfer via UPI (ICICI),17058,Transfer
Flipkart order via Net Banking (ICICI),10634,Shopping
Amazon shopping via Credit Card (PhonePe),11325,Shopping
Hospital checkup via Debit Card (Axis Bank),9400,Healthcare
Cafe coffee via UPI (GPay),245,Food
Concert ticket via UPI (GPay),11669,Entertainment
Broadband bill via UPI (Axis Bank),6504,Bills
Amazon shopping via Credit Card (Axis Bank),11073,Shopping
NEFT transfer via Cash (ICICI),17112,Transfer
NEFT transfer via Cash (Axis Bank),13924,Transfer
FD investment via Debit Card (SBI),17194,Investment
Mutual fund purchase via Debit Card (PhonePe),15831,Investment
Swiggy order via Net Banking (Kotak),12644,Food
Udemy course via Credit Card (ICICI),13985,Education
Bakery purchase via Debit Card (Paytm),197,Food
Credit card bill via Cash (GPay),7929,Bills
Spotify subscription via Net Banking (PhonePe),13651,Entertainment
Broadband bill via UPI (Kotak),4415,Bills
UPI transfer via Net Banking (Axis Bank),15598,Transfer
Bakery purchase via Net Banking (PhonePe),18095,Food
Spotify subscription via Net Banking (PhonePe),13895,Entertainment
Hospital checkup via Net Banking (Kotak),7954,Healthcare
Game purchase via Debit Card (HDFC),5151,Entertainment
Clothing purchase via Debit Card (SBI),6883,Shopping
Movie ticket via Net Banking (Paytm),1584,Entertainment
Wallet transfer via UPI (Kotak),8302,Transfer
Clothing purchase via Debit Card (Axis Bank),12832,Shopping
Course fee via Debit Card (Axis Bank),7183,Education
Netflix subscription via Cash (HDFC),7241,Entertainment
Dominos order via Credit Card (ICICI),11962,Food
Restaurant dinner via UPI (Kotak),16194,Food
Mutual fund purchase via Credit Card (Axis Bank),9821,Investment
Water bill via UPI (PhonePe),13371,Bills
Ola cab via Debit Card (SBI),3869,Travel
Train ticket via Cash (GPay),3595,Travel
YouTube Premium via Net Banking (Kotak),16975,Entertainment
RTGS transfer via UPI (ICICI),12525,Transfer
Amazon shopping via Debit Card (HDFC),1758,Shopping
Electricity bill via Credit Card (PhonePe),18289,Bills
Myntra order via Net Banking (Paytm),2525,Shopping
Uber ride via Credit Card (Axis Bank),5646,Travel
Local market purchase via Credit Card (Kotak),13555,Shopping
Restaurant dinner via Debit Card (Kotak),8303,Food
Swiggy order via Cash (Axis Bank),11010,Food
Medical store purchase via Credit Card (HDFC),11833,Healthcare
Coaching class fee via UPI (GPay),7198,Education
Pizza order via Credit Card (Kotak),19320,Food
Concert ticket via Cash (Paytm),18631,Entertainment
Swiggy order via UPI (GPay),17835,Food
Electricity bill via Credit Card (PhonePe),18003,Bills
Doctor visit via Cash (PhonePe),10413,Healthcare
Uber ride via Cash (Axis Bank),15306,Travel
Hospital checkup via UPI (Kotak),13200,Healthcare
Electronics purchase via Cash (GPay),8908,Shopping
Movie ticket via Cash (HDFC),9503,Entertainment
Electricity bill via Cash (Kotak),9684,Bills
Hospital checkup via UPI (Axis Bank),4815,Healthcare
Netflix subscription via Cash (GPay),13639,Entertainment
Crypto purchase via Net Banking (GPay),6278,Investment
Pharmacy bill via Credit Card (Paytm),13639,Healthcare
Crypto purchase via Net Banking (Axis Bank),18299,Investment
Street food via Credit Card (Paytm),14656,Food
Grocery shopping via Credit Card (ICICI),5587,Food
Crypto purchase via Cash (HDFC),10292,Investment
College fee via UPI (Kotak),4480,Education
Netflix subscription via Cash (Kotak),14137,Entertainment
Book purchase via Cash (HDFC),11613,Education
Diesel refill via Credit Card (ICICI),545,Travel
Bakery purchase via UPI (GPay),12385,Food
SIP investment via UPI (HDFC),2287,Investment
Course fee via Net Banking (ICICI),9911,Education
Netflix subscription via Net Banking (HDFC),9398,Entertainment
Cafe coffee via UPI (SBI),2586,Food
PPF deposit via Credit Card (HDFC),9270,Investment
Water bill via Cash (HDFC),19559,Bills
Electronics purchase via UPI (GPay),7226,Shopping
Hospital checkup via UPI (Kotak),13647,Healthcare
Exam fee via Credit Card (Kotak),4882,Education
Mobile recharge via Debit Card (PhonePe),11541,Bills
Grocery shopping via Credit Card (Paytm),6114,Food
Theme park ticket via Credit Card (Axis Bank),10940,Entertainment
Swiggy order via Credit Card (Kotak),2473,Food
KFC meal via Credit Card (SBI),1353,Food
PPF deposit via Cash (SBI),3215,Investment
Electronics purchase via Cash (GPay),8351,Shopping
Cafe coffee via UPI (Kotak),18154,Food
Electricity bill via UPI (GPay),4677,Bills
PPF deposit via Debit Card (ICICI),8621,Investment
Crypto purchase via Net Banking (PhonePe),15762,Investment
Electronics purchase via Net Banking (GPay),8125,Shopping
Restaurant dinner via Cash (Axis Bank),14022,Food
Exam fee via Cash (ICICI),2669,Education
Exam fee via Debit Card (Axis Bank),12531,Education
Cafe coffee via Cash (SBI),3738,Food
Stock investment via Credit Card (SBI),17858,Investment
Bank transfer via Cash (SBI),15306,Transfer
Gas bill via Net Banking (HDFC),3432,Bills
NEFT transfer via Debit Card (ICICI),10211,Transfer
Game purchase via UPI (ICICI),7011,Entertainment
UPI transfer via UPI (Kotak),1485,Transfer
Water bill via Credit Card (HDFC),16367,Bills
Flight booking via Credit Card (ICICI),2398,Travel
Credit card bill via Cash (ICICI),16972,Bills
Metro ticket via Debit Card (Paytm),9101,Travel
Ajio shopping via Debit Card (GPay),13132,Shopping
Diagnostic test via UPI (PhonePe),2041,Healthcare
Game purchase via Net Banking (Axis Bank),13235,Entertainment
UPI transfer via Cash (Paytm),1709,Transfer
Train ticket via Net Banking (HDFC),5933,Travel
NEFT transfer via Net Banking (GPay),14138,Transfer
Flipkart order via Cash (GPay),17799,Shopping
Health insurance premium via Cash (Kotak),6586,Healthcare
Grocery shopping via Debit Card (HDFC),17550,Food
Book purchase via UPI (SBI),10281,Education
Wallet transfer via Cash (HDFC),14099,Transfer
Course fee via UPI (SBI),9360,Education
Theme park ticket via Credit Card (ICICI),6050,Entertainment
Street food via Credit Card (SBI),17302,Food
Clothing purchase via Net Banking (HDFC),10216,Shopping
Exam fee via Cash (ICICI),4735,Education
Credit card bill via UPI (Kotak),8022,Bills
Gas bill via UPI (Kotak),15443,Bills
Mobile recharge via Credit Card (ICICI),16304,Bills
PPF deposit via Cash (ICICI),15550,Investment
Spotify subscription via Debit Card (PhonePe),14083,Entertainment
Ajio shopping via Net Banking (GPay),6828,Shopping
Mobile recharge via Credit Card (Kotak),15287,Bills
Auto fare via Net Banking (ICICI),2972,Travel
Rapido ride via UPI (SBI),9599,Travel
Local market purchase via Cash (SBI),9847,Shopping
Electronics purchase via Debit Card (ICICI),6355,Shopping
YouTube Premium via Debit Card (Kotak),7200,Entertainment
Petrol pump via Net Banking (Kotak),7615,Travel
Electronics purchase via Cash (HDFC),4785,Shopping
Exam fee via UPI (Paytm),8257,Education
Theme park ticket via Debit Card (Paytm),122,Entertainment
FD investment via Net Banking (SBI),6347,Investment
Book purchase via Debit Card (HDFC),12611,Education
Electronics purchase via UPI (Axis Bank),9465,Shopping
Coaching class fee via Credit Card (PhonePe),7703,Education
Internet recharge via Debit Card (Kotak),4533,Bills
Ajio shopping via Debit Card (PhonePe),15589,Shopping
Doctor visit via Credit Card (Paytm),4465,Healthcare
Electronics purchase via UPI (Axis Bank),13151,Shopping
UPI transfer via Net Banking (Axis Bank),13507,Transfer
Electronics purchase via UPI (SBI),4882,Shopping
Game purchase via Debit Card (Paytm),17867,Entertainment
Bus fare via Cash (Paytm),8151,Travel
Dominos order via UPI (Paytm),2836,Food
Concert ticket via Debit Card (PhonePe),3013,Entertainment
Concert ticket via Net Banking (ICICI),1068,Entertainment
Restaurant dinner via Debit Card (ICICI),17474,Food
Ola cab via UPI (Kotak),19340,Travel
Uber ride via UPI (HDFC),2893,Travel
RTGS transfer via Credit Card (GPay),14766,Transfer
Credit card bill via Debit Card (SBI),4684,Bills
Broadband bill via Debit Card (SBI),6928,Bills
Exam fee via UPI (SBI),5499,Education
Doctor visit via Cash (Paytm),565,Healthcare
Internet recharge via Credit Card (Kotak),3295,Bills
Diesel refill via Net Banking (PhonePe),17186,Travel
Concert ticket via Debit Card (SBI),6970,Entertainment
Stock investment via Cash (HDFC),13183,Investment
Netflix subscription via Debit Card (ICICI),13483,Entertainment
Spotify subscription via Debit Card (HDFC),6369,Entertainment
Coaching class fee via Net Banking (ICICI),2554,Education
Water bill via Cash (Paytm),15714,Bills
Hospital checkup via Cash (SBI),18776,Healthcare
Udemy course via Debit Card (SBI),15043,Education
Credit card bill via Cash (Paytm),363,Bills
UPI transfer via Cash (Paytm),2311,Transfer
IMPS transfer via Debit Card (ICICI),56,Transfer
Swiggy order via Net Banking (Paytm),6995,Food
Broadband bill via Net Banking (Kotak),6782,Bills
Spotify subscription via Credit Card (Paytm),13219,Entertainment
Street food via UPI (HDFC),3986,Food
Diagnostic test via Credit Card (GPay),17722,Healthcare
Ajio shopping via Cash (SBI),19856,Shopping
Clothing purchase via Net Banking (Paytm),19711,Shopping
Uber ride via Credit Card (Kotak),17246,Travel
Netflix subscription via Debit Card (Kotak),14737,Entertainment
Myntra order via Credit Card (Paytm),5911,Shopping
Flipkart order via Cash (ICICI),4194,Shopping
Street food via UPI (PhonePe),10968,Food
Dominos order via Credit Card (Kotak),936,Food
Grocery shopping via Debit Card (ICICI),18838,Food
Medical store purchase via Net Banking (Kotak),5018,Healthcare
Game purchase via Cash (Paytm),11369,Entertainment
Gas bill via Cash (Paytm),10885,Bills
Diagnostic test via UPI (ICICI),6006,Healthcare
Restaurant dinner via Debit Card (SBI),3148,Food
KFC meal via Debit Card (Paytm),1153,Food
Pharmacy bill via Credit Card (Axis Bank),515,Healthcare
NEFT transfer via Net Banking (Axis Bank),1791,Transfer
Spotify subscription via Credit Card (Kotak),15573,Entertainment
Game purchase via Cash (PhonePe),3989,Entertainment
Local market purchase via Cash (SBI),7218,Shopping
Water bill via Net Banking (Kotak),5685,Bills
Doctor visit via Credit Card (GPay),18593,Healthcare
FD investment via Net Banking (PhonePe),13524,Investment
Amazon shopping via UPI (Axis Bank),19643,Shopping
Cafe coffee via Net Banking (Paytm),8776,Food
Bakery purchase via Debit Card (Axis Bank),7945,Food
Diagnostic test via UPI (SBI),11336,Healthcare
Mobile recharge via UPI (Kotak),14406,Bills
Uber ride via Credit Card (PhonePe),19729,Travel
Bus fare via UPI (Kotak),9460,Travel
Rapido ride via Net Banking (GPay),10762,Travel
NEFT transfer via Credit Card (Kotak),4084,Transfer
Exam fee via Cash (Paytm),9403,Education
PPF deposit via Credit Card (ICICI),18392,Investment
NEFT transfer via UPI (HDFC),13216,Transfer
UPI transfer via Cash (Paytm),134,Transfer
Hospital checkup via Cash (SBI),10411,Healthcare
KFC meal via Debit Card (SBI),18978,Food
Mutual fund purchase via Debit Card (SBI),15424,Investment
Cafe coffee via Debit Card (PhonePe),17333,Food
Gas bill via Cash (HDFC),17562,Bills
Gas bill via Debit Card (Axis Bank),3571,Bills
Udemy course via Net Banking (HDFC),10116,Education
Concert ticket via Net Banking (SBI),6301,Entertainment
Bus fare via UPI (GPay),11093,Travel
Broadband bill via Credit Card (Kotak),19598,Bills
Health insurance premium via Net Banking (PhonePe),3505,Healthcare
Online certification via Net Banking (ICICI),13690,Education
Credit card bill via Cash (HDFC),17396,Bills
Exam fee via Credit Card (PhonePe),10926,Education
Bank transfer via Cash (PhonePe),4137,Transfer
College fee via Cash (GPay),15514,Education
FD investment via Credit Card (ICICI),11867,Investment
Movie ticket via Net Banking (GPay),1270,Entertainment
Broadband bill via Net Banking (Paytm),1326,Bills
Flight booking via Debit Card (GPay),18244,Travel
Credit card bill via Cash (PhonePe),7508,Bills
Game purchase via Cash (Kotak),1490,Entertainment
Street food via UPI (Paytm),18091,Food
Coaching class fee via Net Banking (Paytm),10202,Education
Wallet transfer via Debit Card (Kotak),651,Transfer
Bus fare via Credit Card (ICICI),13719,Travel
Concert ticket via Net Banking (Paytm),6398,Entertainment
Stock investment via Debit Card (PhonePe),7759,Investment
Netflix subscription via Cash (Axis Bank),175,Entertainment
Diagnostic test via Debit Card (Axis Bank),4810,Healthcare
Mobile recharge via Net Banking (SBI),17866,Bills
Dominos order via UPI (Paytm),4295,Food
NEFT transfer via Net Banking (HDFC),3346,Transfer
Stock investment via Debit Card (Paytm),19436,Investment
Grocery shopping via UPI (ICICI),3828,Food
SIP investment via Credit Card (ICICI),19375,Investment
Health insurance premium via Net Banking (PhonePe),14270,Healthcare
Uber ride via Debit Card (Axis Bank),10477,Travel
Game purchase via Net Banking (Paytm),16921,Entertainment
PPF deposit via UPI (Paytm),7808,Investment
DTH recharge via UPI (ICICI),7133,Bills
Internet recharge via UPI (ICICI),18683,Bills
Mobile recharge via Net Banking (GPay),11019,Bills
College fee via Credit Card (HDFC),11392,Education
Exam fee via UPI (PhonePe),6059,Education
PPF deposit via Credit Card (HDFC),4323,Investment
Stock investment via Debit Card (Axis Bank),17950,Investment
Clothing purchase via Cash (Paytm),13900,Shopping
Clothing purchase via Debit Card (ICICI),1473,Shopping
Wallet transfer via Debit Card (GPay),13810,Transfer
Grocery shopping via UPI (HDFC),7808,Food
Street food via UPI (HDFC),10065,Food
Electricity bill via Cash (PhonePe),11945,Bills
Swiggy order via Net Banking (HDFC),7895,Food
Hospital checkup via Net Banking (PhonePe),17849,Healthcare
NEFT transfer via Cash (PhonePe),9395,Transfer
Health insurance premium via UPI (Kotak),7090,Healthcare
Restaurant dinner via Net Banking (SBI),13749,Food
Mutual fund purchase via Credit Card (Axis Bank),11981,Investment
Diesel refill via Debit Card (GPay),10110,Travel
Udemy course via Cash (SBI),829,Education
Petrol pump via Credit Card (Kotak),15371,Travel
Auto fare via Debit Card (Kotak),14884,Travel
Auto fare via UPI (GPay),11676,Travel
Medical store purchase via Net Banking (ICICI),16989,Healthcare
Ajio shopping via Credit Card (SBI),2482,Shopping
Auto fare via Net Banking (SBI),14550,Travel
Local market purchase via UPI (PhonePe),7063,Shopping
Water bill via Debit Card (PhonePe),5702,Bills
Game purchase via Cash (Axis Bank),6192,Entertainment
Mutual fund purchase via Cash (Paytm),3520,Investment
Movie ticket via Cash (Kotak),10367,Entertainment
Netflix subscription via Credit Card (ICICI),10905,Entertainment
Amazon shopping via Cash (PhonePe),16340,Shopping
Restaurant dinner via Credit Card (HDFC),4884,Food
Flipkart order via Net Banking (Paytm),424,Shopping
Wallet transfer via Net Banking (ICICI),13098,Transfer
UPI transfer via Debit Card (ICICI),10850,Transfer
Spotify subscription via Net Banking (Kotak),8018,Entertainment
Netflix subscription via Debit Card (HDFC),11150,Entertainment
Train ticket via UPI (GPay),9680,Travel
Doctor visit via Net Banking (HDFC),437,Healthcare
Amazon shopping via UPI (Axis Bank),17608,Shopping
Electronics purchase via UPI (Kotak),19798,Shopping
Doctor visit via UPI (GPay),4830,Healthcare
Local market purchase via Debit Card (Axis Bank),2919,Shopping
IMPS transfer via Credit Card (Kotak),14611,Transfer
Flight booking via Net Banking (ICICI),6860,Travel
Petrol pump via Debit Card (ICICI),3988,Travel
Medical store purchase via Credit Card (Paytm),8147,Healthcare
Coaching class fee via Net Banking (SBI),16512,Education
Train ticket via UPI (GPay),2301,Travel
Pharmacy bill via UPI (GPay),1947,Healthcare
Movie ticket via UPI (SBI),8072,Entertainment
Clothing purchase via Net Banking (SBI),16657,Shopping
Auto fare via Credit Card (ICICI),19244,Travel
SIP investment via Net Banking (PhonePe),11492,Investment
Flipkart order via Credit Card (ICICI),13562,Shopping
Crypto purchase via UPI (Paytm),5190,Investment
IMPS transfer via UPI (ICICI),15082,Transfer
Doctor visit via Debit Card (HDFC),2517,Healthcare
Mutual fund purchase via UPI (SBI),17902,Investment
Gas bill via Cash (GPay),14092,Bills
Auto fare via Credit Card (SBI),7829,Travel
Broadband bill via Net Banking (GPay),879,Bills
Flipkart order via Net Banking (ICICI),9087,Shopping
FD investment via Credit Card (Kotak),19573,Investment
Auto fare via Net Banking (HDFC),19750,Travel
Book purchase via Net Banking (HDFC),2410,Education
PPF deposit via Cash (Axis Bank),9828,Investment
UPI transfer via Net Banking (SBI),17695,Transfer
Doctor visit via Net Banking (HDFC),6118,Healthcare
Concert ticket via Debit Card (GPay),12952,Entertainment
Water bill via Cash (PhonePe),3340,Bills
Flipkart order via Net Banking (Paytm),13360,Shopping
Doctor visit via Debit Card (GPay),178,Healthcare
Mutual fund purchase via Cash (Kotak),6325,Investment
Book purchase via UPI (SBI),15317,Education
Electricity bill via Cash (PhonePe),15072,Bills
DTH recharge via UPI (SBI),5873,Bills
NEFT transfer via Credit Card (HDFC),14934,Transfer
Wallet transfer via Net Banking (Kotak),10858,Transfer
UPI transfer via UPI (SBI),1172,Transfer
Petrol pump via Credit Card (Kotak),4534,Travel
NEFT transfer via Debit Card (ICICI),17495,Transfer
Exam fee via Debit Card (PhonePe),14446,Education
Swiggy order via Credit Card (GPay),197,Food
Auto fare via Net Banking (SBI),16860,Travel
Crypto purchase via Debit Card (SBI),16865,Investment
Mutual fund purchase via Debit Card (Paytm),9115,Investment
Bank transfer via Net Banking (GPay),13684,Transfer
Diesel refill via Debit Card (PhonePe),2772,Travel
UPI transfer via Net Banking (ICICI),16610,Transfer
Spotify subscription via Credit Card (Axis Bank),8953,Entertainment
PPF deposit via UPI (SBI),10987,Investment
Udemy course via Net Banking (Axis Bank),18438,Education
Rapido ride via Debit Card (ICICI),14416,Travel
KFC meal via Net Banking (SBI),18769,Food
Internet recharge via Debit Card (Kotak),340,Bills
Doctor visit via Credit Card (Axis Bank),15281,Healthcare
Mobile recharge via Net Banking (GPay),19410,Bills
Myntra order via Debit Card (HDFC),14421,Shopping
NEFT transfer via Debit Card (Axis Bank),14812,Transfer
YouTube Premium via Credit Card (SBI),11607,Entertainment
College fee via Debit Card (GPay),18272,Education
Electricity bill via Net Banking (PhonePe),3672,Bills
Internet recharge via Cash (ICICI),3622,Bills
Hospital checkup via UPI (Kotak),396,Healthcare
Diesel refill via Debit Card (GPay),15618,Travel
Zomato food delivery via Cash (PhonePe),2768,Food
Bus fare via Credit Card (PhonePe),11460,Travel
Crypto purchase via Credit Card (HDFC),1839,Investment
Stock investment via UPI (GPay),18961,Investment
Udemy course via UPI (SBI),16184,Education
Stock investment via Cash (HDFC),1690,Investment
Medical store purchase via Cash (Paytm),10603,Healthcare
Myntra order via Cash (ICICI),93,Shopping
Water bill via UPI (Axis Bank),2604,Bills
Electronics purchase via UPI (GPay),13465,Shopping
Course fee via Debit Card (GPay),1040,Education
Crypto purchase via Debit Card (SBI),15416,Investment
Concert ticket via Debit Card (Axis Bank),12222,Entertainment
Local market purchase via Debit Card (Kotak),1554,Shopping
Movie ticket via UPI (ICICI),3191,Entertainment
Game purchase via Credit Card (HDFC),7448,Entertainment
Rapido ride via Debit Card (ICICI),6249,Travel
Doctor visit via Net Banking (ICICI),16067,Healthcare
KFC meal via Debit Card (Axis Bank),6377,Food
Netflix subscription via Net Banking (Axis Bank),14446,Entertainment
Internet recharge via Cash (SBI),5697,Bills
Myntra order via Net Banking (Paytm),14922,Shopping
Flipkart order via Cash (HDFC),14765,Shopping
Electricity bill via UPI (Axis Bank),18092,Bills
Petrol pump via Cash (Axis Bank),8665,Travel
UPI transfer via Net Banking (GPay),18427,Transfer
Metro ticket via Debit Card (PhonePe),4573,Travel
Spotify subscription via UPI (GPay),15888,Entertainment
Amazon shopping via Debit Card (Kotak),14368,Shopping
Exam fee via Debit Card (GPay),16082,Education
Movie ticket via Net Banking (GPay),7231,Entertainment
Gas bill via Debit Card (HDFC),16953,Bills
Game purchase via Net Banking (Paytm),12418,Entertainment
Exam fee via Net Banking (Axis Bank),4908,Education
Pharmacy bill via Cash (HDFC),5168,Healthcare
